Date of Sale (dd/mm/yyyy),Address,County,Eircode,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
24/01/2016,"32 Carlinn Hall, Dundalk",Louth,,"€154,185.02",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
24/03/2016,"35 DOLLYMOUNT PARK, CLONTARF, DUBLIN 3",Dublin,,"€500,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/03/2016,"6210 Brookfield Hall, Castletroy, Limerick",Limerick,,"€41,694.44",No,No,Second-Hand Dwelling house /Apartment,
21/03/2016,"BALLYFERRIS, TEMPLEBOY, CO SLIGO",Sligo,,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/04/2016,"APT 1 COOPER HOUSE, 38 WATERCOURSE ROAD, BLACKPOOL",Cork,,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/05/2016,"188 Brightwater, Church Bay Road, Crosshaven",Cork,,"€185,022.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
17/12/2016,"107 SLIABH, GORT, CARRON",Galway,,"€172,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/08/2016,"24 EAST ROAD, EAST WALL, DUBLIN 3",Dublin,,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/03/2016,"APT 21 BLOCK B, HOWTH JUNCTION COURT, ST DONAGHS PARK",Dublin,,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/03/2016,"3 GREENANE, KANTURK, CO CORK",Cork,,"€47,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
21/07/2016,"15 RIVERSIDE, KILCOOLE, WICKLOW",Wicklow,,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/11/2016,"85 Ashmount Mews, Silversprings, Cork",Cork,,"€183,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
31/08/2016,"7 ARD DARA VIEW, ARD DARA STATION RD, BLARNEY",Cork,,"€356,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/05/2016,"APT 18, WESTSIDE, LETTERKENNY",Donegal,,"€25,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/12/2016,"CASEYS CROSS, NENAGH, TIPPERARY",Tipperary,,"€67,500.00",No,No,Second-Hand Dwelling house /Apartment,
25/11/2016,"6 PARC NA SILLA AVE, LOUGHLINSTOWN, DUBLIN",Dublin,,"€415,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/12/2016,"3 ROBERT STREET, MITCHELSTOWN, CO. CORK",Cork,,"€30,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/01/2016,"An Tigan Ban, Bridgetown",Wexford,,"€86,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/02/2016,"28 Castle Park, Termonfeckin",Louth,,"€222,466.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
06/04/2016,"76 BOROIMHE HAZEL, SWORDS, DUBLIN",Dublin,,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/07/2016,"8 Hollywoodrath Avenue, Hollystown",Dublin,,"€285,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
08/12/2016,"114 Evanwood, Golf Links Road, Castletroy",Limerick,,"€221,233.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
26/07/2016,"Ard Mor, 31 Granville Park, Blackrock",Dublin,,"€991,189.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
